,fire_size_class,latitude,longitude,discovery_month,disc_dow,Vegetation,remoteness,elevation,Temp,Wind,Humidity,Precipitation
40315,B,30.68222222,-94.31861111,Aug,4,12,0.24914984,74,29.93534478,1.832228712,69.7872117,26.16666667
40316,B,37.04320264,-91.86336378,Jul,0,0,0.222147359,403,28.00778439,5.026746032,78.3234127,0
40317,B,40.25194444,-124.1669444,Sep,4,14,0.537107288,75,20.1479255,1.915583011,56.04115644,0
40318,C,30.16667002,-83.11667,Feb,0,12,0.147316912,28,8.663024138,2.223062485,65.89971407,1.266666667
40322,B,36.98888888,-120.0280556,Jul,6,0,0.496140963,91,17.17018018,1.297567568,31.87627628,0
40324,B,34.1889,-97.0308,Mar,0,16,0.272060073,230,7.852267181,3.12975712,65.23091997,0
40325,B,36.238433,-80.3911,Jan,4,0,0.118935276,290,0.316,0.465333333,22.37333333,0
40326,C,43.93943024,-108.7406003,Aug,6,9,0.380013892,1849,24.08029876,2.497142664,31.58085172,3.9
40330,B,34.64604998,-92.31326001,Jan,2,16,0.227730969,91,8.240180304,3.485301678,62.09709895,7.933333333
40331,B,27.1156,-80.19,May,3,12,0.123906122,9,-2,0.7,14.33333333,0
40332,B,41.87097142,-74.1744023,Apr,2,15,0.061957838,200,10.98514753,3.327558309,59.64767586,30.13333333
40334,B,26.40717978,-98.94378309,Jan,4,12,0.296266695,55,12.47875643,2.19543213,43.53820796,0.1
40335,F,36.34361111,-118.5369444,Aug,4,0,0.481308487,2515,29.98294973,2.67570809,38.04731567,0
40337,B,37.06244444,-80.25427778,Mar,2,0,0.117259991,803,8.262642223,2.323186613,63.56895007,0
40338,C,36.02681998,-93.61859999,Apr,4,0,0.238992622,434,14.27509958,4.557784563,58.92759644,0
40339,C,28.57222,-81.7075,Dec,0,12,0.136073044,32,17.33283698,1.9696979,76.62824914,16.56666667
40340,B,30.75791001,-95.94064002,Dec,4,12,0.264257622,99,10.87351113,2.597179483,71.01302749,14.8
40341,B,30.94375,-93.64792,Mar,3,12,0.242704248,66,11.21033169,2.927405436,62.63663848,6.2
40342,B,32.3041,-83.4289,Feb,5,12,0.148493561,89,9.748385963,2.756783753,68.1790185,214.5666667
40345,B,31.71311389,-81.74599444,Feb,5,12,0.133924039,22,12.75502256,2.574091615,72.10049299,0
