,elevation,Veg Broadleaf Forest,Veg Desert,Veg Grassland,Veg Needleleaf Forest,Veg Rock,Veg Shrubland
300,198.0,0,0,1,0,0,0
301,250.0,0,0,0,0,0,0
302,438.0,0,0,0,0,0,0
303,235.0,1,0,0,0,0,0
304,36.0,0,0,0,0,1,0
305,337.0,0,0,0,0,0,0
306,20.0,0,0,0,0,0,1
307,52.0,1,0,0,0,0,0
308,162.0,0,0,0,0,1,0
309,354.0,0,1,0,0,0,0
310,426.0,0,0,0,0,0,1
311,57.0,0,0,0,0,0,1
312,31.0,0,0,0,0,0,1
313,142.0,0,0,0,0,0,1
314,231.0,0,0,1,0,0,0
315,457.0,0,0,0,0,1,0
316,496.0,0,0,0,0,1,0
317,235.0,1,0,0,0,0,0
318,80.0,0,0,0,0,0,1
319,1866.0,1,0,0,0,0,0
320,291.0,1,0,0,0,0,0
321,136.0,0,0,0,0,0,1
322,158.0,0,0,0,0,0,1
323,24.0,0,0,0,0,0,1
324,119.0,0,0,0,0,0,1
325,1962.0,0,0,0,0,1,0
326,7.0,0,0,0,0,0,1
327,99.0,0,0,0,0,0,1
328,40.0,0,0,0,0,0,1
329,143.0,1,0,0,0,0,0
330,98.0,0,0,0,0,0,1
331,206.0,0,0,0,0,0,1
332,187.0,0,0,0,0,1,0
333,311.0,0,0,0,0,1,0
334,497.0,0,0,1,0,0,0
335,174.0,1,0,0,0,0,0
336,201.0,0,0,0,0,0,0
337,10.0,0,0,0,0,0,1
338,14.0,0,0,0,0,0,1
339,183.0,0,0,0,0,0,1
340,271.0,1,0,0,0,0,0
341,127.0,1,0,0,0,0,0
342,1313.0,0,0,0,0,1,0
343,1905.0,0,0,0,0,1,0
344,250.0,1,0,0,0,0,0
345,1075.0,0,0,0,0,1,0
346,57.0,0,0,0,0,0,1
347,101.0,0,0,0,0,0,1
348,155.0,0,0,0,0,1,0
349,245.0,0,0,0,0,0,0
350,106.0,1,0,0,0,0,0
351,84.0,0,0,0,0,0,1
352,9.0,0,0,0,0,0,1
353,213.0,1,0,0,0,0,0
354,268.0,0,0,0,0,1,0
355,53.0,0,0,0,0,0,1
356,18.0,0,0,0,0,0,1
357,350.0,0,0,0,0,0,0
358,133.0,1,0,0,0,0,0
359,189.0,0,0,0,0,0,1
360,16.0,1,0,0,0,0,0
361,93.0,0,0,0,0,0,1
362,372.0,0,0,1,0,0,0
363,40.0,0,0,0,0,1,0
364,379.0,0,0,0,0,1,0
365,278.0,0,0,0,0,1,0
366,329.0,0,0,0,0,0,0
367,130.0,1,0,0,0,0,0
368,369.0,0,0,1,0,0,0
369,276.0,0,0,0,0,1,0
370,350.0,0,0,0,0,0,1
371,22.0,0,0,0,0,0,1
372,88.0,0,0,0,0,0,1
373,201.0,1,0,0,0,0,0
374,155.0,0,0,0,0,0,1
375,177.0,0,0,1,0,0,0
376,92.0,0,0,0,0,0,1
